,Id,UserId,Name,Date,Class,TagBased
0,1,1,Informed,2014-05-13T23:06:44.683,3,False
1,2,2,Autobiographer,2014-05-13T23:11:04.153,3,False
2,3,4,Autobiographer,2014-05-13T23:20:53.547,3,False
3,4,5,Autobiographer,2014-05-13T23:20:53.547,3,False
4,5,8,Autobiographer,2014-05-13T23:20:53.547,3,False
5,6,9,Autobiographer,2014-05-13T23:20:53.547,3,False
6,7,11,Autobiographer,2014-05-13T23:25:53.653,3,False
7,8,12,Autobiographer,2014-05-13T23:25:53.653,3,False
8,9,17,Autobiographer,2014-05-13T23:25:53.653,3,False
9,10,3,Informed,2014-05-13T23:27:23.747,3,False
10,11,14,Informed,2014-05-13T23:27:35.463,3,False
11,12,22,Autobiographer,2014-05-13T23:40:53.937,3,False
12,13,24,Autobiographer,2014-05-13T23:40:53.937,3,False
13,14,24,Informed,2014-05-13T23:41:05.227,3,False
14,15,28,Autobiographer,2014-05-13T23:50:54.017,3,False
15,16,29,Autobiographer,2014-05-13T23:50:54.017,3,False
16,17,30,Autobiographer,2014-05-13T23:50:54.017,3,False
17,18,6,Student,2014-05-13T23:50:54.017,3,False
18,19,29,Supporter,2014-05-13T23:50:54.017,3,False
19,20,32,Autobiographer,2014-05-13T23:55:57.983,3,False
20,21,34,Autobiographer,2014-05-13T23:55:57.983,3,False
21,22,35,Autobiographer,2014-05-13T23:55:57.983,3,False
22,23,38,Autobiographer,2014-05-13T23:55:57.983,3,False
23,24,37,Supporter,2014-05-13T23:55:57.983,3,False
24,25,26,Editor,2014-05-14T00:00:58.947,3,False
25,26,26,Supporter,2014-05-14T00:00:58.947,3,False
26,27,38,Supporter,2014-05-14T00:00:58.947,3,False
27,28,26,Teacher,2014-05-14T00:00:58.947,3,False
28,29,36,Teacher,2014-05-14T00:00:58.947,3,False
29,30,7,Citizen Patrol,2014-05-14T00:05:26.737,3,False
30,31,5,Student,2014-05-14T00:05:58.897,3,False
31,32,19,Supporter,2014-05-14T00:05:58.897,3,False
32,33,41,Autobiographer,2014-05-14T00:12:25.587,3,False
33,34,37,Precognitive,2014-05-14T00:12:25.633,3,False
34,35,14,Precognitive,2014-05-14T00:12:25.633,3,False
35,36,17,Precognitive,2014-05-14T00:12:25.633,3,False
36,37,10,Precognitive,2014-05-14T00:12:25.633,3,False
37,38,15,Precognitive,2014-05-14T00:12:25.633,3,False
38,39,11,Precognitive,2014-05-14T00:12:25.633,3,False
39,40,25,Precognitive,2014-05-14T00:12:25.633,3,False
40,41,31,Precognitive,2014-05-14T00:12:25.633,3,False
41,42,20,Precognitive,2014-05-14T00:12:25.633,3,False
42,43,36,Student,2014-05-14T00:12:25.587,3,False
43,44,3,Supporter,2014-05-14T00:12:25.587,3,False
44,45,36,Supporter,2014-05-14T00:17:25.757,3,False
45,46,34,Teacher,2014-05-14T00:17:25.757,3,False
46,47,20,Supporter,2014-05-14T00:22:26.037,3,False
47,48,46,Autobiographer,2014-05-14T00:27:25.623,3,False
48,49,53,Autobiographer,2014-05-14T00:37:25.657,3,False
49,50,51,Supporter,2014-05-14T00:37:25.657,3,False
50,51,51,Citizen Patrol,2014-05-14T00:39:24.117,3,False
51,52,55,Autobiographer,2014-05-14T00:49:48.477,3,False
52,53,46,Student,2014-05-14T00:54:48.590,3,False
53,54,22,Supporter,2014-05-14T00:54:48.590,3,False
54,55,22,Teacher,2014-05-14T00:54:48.590,3,False
55,56,51,Teacher,2014-05-14T00:54:48.590,3,False
56,57,61,Autobiographer,2014-05-14T00:59:49.337,3,False
57,58,62,Autobiographer,2014-05-14T00:59:49.337,3,False
58,59,22,Citizen Patrol,2014-05-14T00:58:13.140,3,False
59,60,9,Quorum,2014-05-14T01:12:25.740,3,False
60,61,55,Precognitive,2014-05-14T01:12:25.740,3,False
61,62,43,Precognitive,2014-05-14T01:12:25.740,3,False
62,63,52,Precognitive,2014-05-14T01:12:25.740,3,False
63,64,62,Precognitive,2014-05-14T01:12:25.740,3,False
64,65,48,Precognitive,2014-05-14T01:12:25.740,3,False
65,66,63,Precognitive,2014-05-14T01:12:25.740,3,False
66,67,64,Precognitive,2014-05-14T01:12:25.740,3,False
67,68,9,Talkative,2014-05-14T01:12:25.740,3,False
68,69,66,Informed,2014-05-14T01:19:21.947,3,False
69,70,66,Autobiographer,2014-05-14T01:19:49.233,3,False
70,71,38,Citizen Patrol,2014-05-14T01:19:03.657,3,False
71,72,64,Supporter,2014-05-14T01:19:49.233,3,False
72,73,66,Supporter,2014-05-14T01:19:49.233,3,False
73,74,66,Student,2014-05-14T01:34:49.400,3,False
